variable,variable_short,variable_name,description,table,data_type,statistical_type,allowed_range,allowed_values,normal_range,normal_values,units,category,mapping,worse_direction,variable_level,info,NSCLC,PCa
taking_encorafenib,taking_encorafenib,Taking encorafenib,"Targeted therapy BRAF inhibitor (targeting V600E mutation): encorafenib, Braftovi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_vemurafenib,taking_vemurafenib,Taking vemurafenib,"Targeted therapy BRAF inhibitor: vemurafenib, Zelboraf","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_trametinib,taking_trametinib,Taking trametinib,"Targeted therapy MET inhibitor: trametinib, Mekinist","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_binimetinib,taking_binimetinib,Taking binimetinib,"Targeted therapy MET inhibitor: binimetinib, Mektovi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_selpercatinib,taking_selpercatinib,Taking selpercatinib,"Targeted therapy RET inhibitor: selpercatinib, Retevmo","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_pralsetinib,taking_pralsetinib,Taking pralsetinib,"Targeted therapy RET inhibitor: pralsetinib, Gavreto","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_cabozantinib,taking_cabozantinib,Taking cabozantinib,"Targeted therapy RET inhibitor (targeting RET, ROS1, MET, VEGF): cabozantinib, Cabometyx, Cometriq","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_docetaxel,taking_docetaxel,Taking docetaxel,"Chemotherapy: docetaxel, taxotere","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,1
taking_cabazitaxel,taking_cabazitaxel,Taking cabazitaxel,"Chemotherapy: cabazitaxel, jevlana","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_mitoxantrone,taking_mitoxantrone,Taking mitoxantrone,"Chemotherapy: mitoxantrone, novantrone","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_estramustine,taking_estramustine,Taking estramustine,"Chemotherapy: estramustine, emcyt","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_sipuleucel_t,taking_sipuleucel_t,Taking sipuleucel_t,"Immunotherapy Autologous cellular immunotherapy (prostate cancer vaccine): sipulecel-t, provenge","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_dostarlimab,taking_dostarlimab,Taking dostarlimab,"Immunotherapy Checkpoint Inhibitor: PD-1 blocking antibody: dostarlimab, Jemperli","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_doxorubicin,taking_doxorubicin,Taking doxorubicin,"Chemotherapy: doxorubicin, adriamycin, rubex","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_lutetium_177,taking_lutetium_177,Taking lutetium_177,"Radiopharmaceutical: lutetium 177, Lu 177 vipivotide tetraxetan, Pluvicto","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_radium_223,taking_radium_223,Taking radium_223,"Radiopharmaceutical: radium 223, Ra 223 dichloride, Xofigo","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_olaparib,taking_olaparib,Taking olaparib,"Targeted therapy PARP inhibitor: olaparib, Lynparza","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_rucaparib,taking_rucaparib,Taking rucaparib,"Targeted therapy PARP inhibitor: rucaparib, Rubraca","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_niraparib,taking_niraparib,Taking niraparib,"Targeted therapy PARP inhibitor: niraparib, Zejula","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_talazoparib,taking_talazoparib,Taking talazoparib,"Targeted therapy PARP inhibitor: talazoparib, Telzenna","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_leuprolide,taking_leuprolide,Taking leuprolide,"Hormone therapy LHRH agonist: leuprolide, Luporn, Eligard, Viadur","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_goserelin,taking_goserelin,Taking goserelin,"Hormone therapy LHRH agonist: goserelin, Zoladex","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_triptorelin,taking_triptorelin,Taking triptorelin,"Hormone therapy LHRH agonist: triptorelin, Trelstar","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_histrelin,taking_histrelin,Taking histrelin,"Hormone therapy LHRH agonist: histrelin, Vantas","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_degarelix,taking_degarelix,Taking degarelix,"Hormone therapy LHRH antagonist: degarelix, Firmagon","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_relugolix,taking_relugolix,Taking relugolix,"Hormone therapy LHRH antagonist: relugolix, Orgovyx","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_abiraterone,taking_abiraterone,Taking abiraterone,"Hormone therapy androgen lowering medication: abiraterone, Zytiga, Yonsa","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_bicalutamide,taking_bicalutamide,Taking bicalutamide,"Hormone therapy 1st gen Androgen receptor inhibitor: bicalutamide, Casodex","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_flutamide,taking_flutamide,Taking flutamide,"Hormone therapy 1st gen Androgen receptor inhibitor: flutamide, Eulexin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_nilutamide,taking_nilutamide,Taking nilutamide,"Hormone therapy 1st gen Androgen receptor inhibitor: nilutamide, Nilandron","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_enzalutamide,taking_enzalutamide,Taking enzalutamide,"Hormone therapy 2nd gen Androgen receptor inhibitor: enzalutamide, Xtandi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_apalutamide,taking_apalutamide,Taking apalutamide,"Hormone therapy 2nd gen Androgen receptor inhibitor: apalutamide, Erleada","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_darolutamide,taking_darolutamide,Taking darolutamide,"Hormone therapy 2nd gen Androgen receptor inhibitor: darolutamide, Nubeqa","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,1
taking_aagonist,taking_aagonist,Taking Central Alpha Agonist,"Whether the participant is taking treatments in the Central Alpha Agonist class. Typically a treatment for Hypertension. Medications include Clonidine, Catapres, Methyldopa, Aldomet, Guanfacine, Tenex, Guanabenz, Wytensin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ab,taking_ab,Taking Alpha 1 Blockers (AB),"Whether the participant is taking treatments in the Alpha 1 Blockers (AB) class. Typically a treatment for Hypertension. Medications include Doxazosin, Cardura, Prazosin, Minipress, Terazosin, Hytrin, Alfluzosin, Bunazosin, Tamsulosin and Silodosin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ab_nonselective,taking_ab_nonselective,Taking Nonselective Alpha 1 and Alpha 2 Blockers (AB),"Whether the participant is taking treatments in the Nonselective Alpha 1 and Alpha 2 Blockers (AB) class. Typically a treatment for hypertensive emergencies. These include phentolamine, tolazoline, priscoline, phenoxybenzamine ","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_acei,taking_acei,Taking Angiotensin-Converting Enzyme Inhibitors (ACEi),"Whether the participant is taking treatments in the Angiotensin-Converting Enzyme Inhibitors (ACEi) class. Typically a treatment for Hypertension. Medications include Enalapril, Vasotec, Lisinopril, Prinivil, Zestril, Captopril, Capoten, Ramipril, Altace, Benazepril, Lotensin, Quinapril, Accupril, Perindopril, Aceon","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_aginhibitors,taking_aginhibitors,Taking Alpha Glucosidase Inhibitors,"Whether the participant is taking treatments in the alpha glucosidase inhibitors medication class. Typically a treatment for diabetes. Medications include Acarbose, Precose, Miglitol, Glyset","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_anorectic,taking_anorectic,Taking Anorectic,"Whether the participant is taking treatments in the anorectics class. Typically a treatment for obesity. Medications include Phentermine, Adipex, Diethylpropion, Tenuate, Qsymia","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_antihypertensive_unspecified,taking_antihypertensive,Taking Antihypertensive Unspecified,Whether the participant is taking treatments for hypertension. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_diuretics_unspecified,taking_diuretics,Taking Diuretics Unspecified,Whether the participant is taking diuretics. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_lipid_lowering_drugs_unspecified,taking_lld_drugs,Taking Lipid Lowering Drugs Unspecified,Whether the participant is taking treatments for dyslipidemia. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_t2d_drugs_unspecified,taking_t2d_drugs,Taking Diabetes Drugs Unspecified,Whether the participant is taking treatments for diabetes. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_acl,taking_acl,Taking Adenosine Triphosphate Citrate Lyase (ACL) Blocker,Whether the participant is taking treatments in the Adenosine Triphosphate Citrate Lyase (ACL) Blocker class. Typically a treatment for Dyslipidemia. ,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_arb,taking_arb,Taking Angiotensin II Receptor Blockers (ARB),"Whether the participant is taking treatments in the Angiotensin II Receptor Blockers (ARB) class. Typically a treatment for Hypertension. Medications include Losartan, Cozaar, Valsartan, Diovan, Irbesartan, Avapro, Olmesartan, Benicar, Telmisartan, Micardis, Candesartan, Atacand, Eprosartan, Teveten, Azilsartan, Edarbi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_bb,taking_bb,Taking Beta Blockers (BB),"Whether the participant is taking treatments in the Beta Blockers (BB) class. Typically a treatment for Hypertension. Medications include Atenolol, Tenormin, Metoprolol, Lopressor, Toprol-XL, Propranolol, Inderal, Bisoprolol, Zebeta, Carvedilol, Coreg, Labetalol, Trandate, Nebivolol, Bystolic, Sotalol, Betapace","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_bileacidseq,taking_bileacidseq,Taking Bile Acid Sequestrants,"Whether the participant is taking treatments in the bile acid sequestrants medication class. Typically a treatment for diabetes. Medications include Cholestyramine, Questran, Prevalite, Colesevelam, Welchol, Colestipol, Colestid","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ccb,taking_ccb,Taking Calcium Channel Blockers (CCB),"Whether the participant is taking treatments in the Calcium Channel Blockers (CCB) class. Typically a treatment for Hypertension. Medications include Amlodipine, Norvasc, Diltiazem, Cardizem, Verapamil, Calan, Nifedipine, Adalat, Procardia, Felodipine, Plendil, Isradipine, DynaCirc, Nicardipine, Cardene, Lercanidipine, Zanidip","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_crb,taking_crb,Taking Cannabinoid Receptor Blockers (CRB),Whether the participant is taking treatments in the cannabinoid receptor blocker (CRB) class. Typically a treatment for obesity. Medications include Rimonabant.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_dopamineagonist,taking_dopamineagonist,Taking Dopamine Agonists,"Whether the participant is taking treatments in the dopamine agonists medication class. Typically a treatment for diabetes. Medications include Bromocriptine, Cycloset","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_dpp4,taking_dpp4,Taking Dipeptidyl Peptidase IV Inhibitors,"Whether the participant is taking treatments in the dipeptidyl peptidase IV (DPP-4) inhibitors medication class. Typically a treatment for diabetes. Medications include Sitagliptin, Januvia, Saxagliptin, Onglyza, Linagliptin, Tradjenta, Alogliptin, Nesina, Vildagliptin, Galvus","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ezetimide,taking_ezetimide,Taking Ezetimide,"Whether the participant is taking treatments in the Ezetimide  class. Typically a treatment for Dyslipidemia. Medications include Ezetimide, Zetia","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_fibrates,taking_fibrates,Taking Fibrates (Fibric Acid Derivatives),"Whether the participant is taking treatments in the Fibrates (Fibric Acid Derivatives) class. Typically a treatment for Dyslipidemia. Medications include Fenofibrate, Tricor, Gemfibrozil, Lopid","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_glp1,taking_glp1,Taking GLP-1 Receptor Agonists,"Whether the participant is taking treatments in the glucagon like peptide 1 (GLP-1) receptor agonists medication class. Typically a treatment for diabetes can be for obesity. Medications include Exenatide, Byetta, Bydureon, Liraglutide, Victoza, Saxenda, Dulaglutide, Trulicity, Semaglutide, Ozempic, Rybelsus, Albiglutide, Tanzeu, Lixisenatide, Adlyxin, Lanreotide, Somatuline, Wegovy","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_insulin,taking_insulin,Taking Insulin,"Whether the participant is taking treatments in the insulin medication class. Typically a treatment for diabetes. Medications include Humulin, Novolin, Humalog, Lispro, Novolog, NovoRapid, Fiasp, Aspart, Apidra, Glulisine, NPH, Lantus, Basaglar, Toujeo, Glargine, Levemir, Detemir, Tresiba, Degludec, Afrezza, ","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ksparingdiuretics,taking_ksparingdiuretics,Taking Potassium (K) Sparing Diuretic,"Whether the participant is taking treatments in the Potassium (K) Sparing Diuretic class. Typically a treatment for Hypertension. Medications include Amiloride, Midamor, Triamterene, Dyrenium, Spironolactone, Aldactone, Eplerenone, Inspra","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_lipaseinhibitor,taking_lipaseinhibitor,Taking Lipase Inhibitor,"Whether the participant is taking treatments in the lipase inhibitor medication class. Typically a treatment for obesity. Medications include Orlistat, Alli, Xenical","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_loopdiuretics,taking_loopdiuretics,Taking Loop Diuretic,"Whether the participant is taking treatments in the Loop Diuretic class. Typically a treatment for Hypertension. Medications include Furosemide, Lasix, Bumetanide, Bumex, Torsemide, Demadex, Ethacrynic Acid, Edecrin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_meglitinide,taking_meglitinide,Taking Meglitinide,"Whether the participant is taking treatments in the meglitinide medication class. Typically a treatment for diabetes. Medications include Repaglinide, Prandin, Nateglinide, Starlix","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_metformin,taking_metformin,Taking Metformin,"Whether the participant is taking treatments in the metformin medication class. Typically a treatment for diabetes. Medications include biguanide, Glucophage, GlucophageXR, Glumetza, Riomet, Fortame, Metabet, Axpinet, Diagemet, Glucient","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_mtpinhibitor,taking_mtpinhibitor,Taking Microsomal Triglyceride Transfer Protein (MTP) Inhibitors,"Whether the participant is taking treatments in the Microsomal Triglyceride Transfer Protein (MTP) Inhibitors class. Typically a treatment for Dyslipidemia. Medications include Lomitapide, Juxtapid","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_niacin,taking_niacin,Taking Niacin,"Whether the participant is taking treatments in the Niacin  class. Typically a treatment for Dyslipidemia. Medications include Niacin, Niacor, Niaspan","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_omega3,taking_omega3,Taking Omega-3 Fatty Acid Supplements,"Whether the participant is taking treatments in the Omega-3 Fatty Acid Supplements  class. Typically a treatment for Dyslipidemia. Medications include Vascepa, Docosahexaenoic Acif (DHA), Eicosapentaenoic Acid (EPA)","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_pcsk9,taking_pcsk9,Taking PCSK9 Inhibitors (Proprotein Convertase Subtilisin/Kexin Type 9 Inhibitors),"Whether the participant is taking treatments in the PCSK9 Inhibitors (Proprotein Convertase Subtilisin/Kexin Type 9 Inhibitors) class. Typically a treatment for Dyslipidemia. Medications include Evolocumab, Repatha, Alirocumab, Praluent","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_renininhibitor,taking_renininhibitor,Taking Renin Inhibitors,"Whether the participant is taking treatments in the Renin Inhibitors class. Typically a treatment for Hypertension. Medications include Aliskiren, Tekturna","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_sglt2,taking_sglt2,Taking SGLT2 Inhibitors,"Whether the participant is taking treatments in the sodium-glucose transport protein 2 (SGLT2) inhibitors medication class. Typically a treatment for diabetes. Medications include Canagliflozin, Invokana, Dapagliflozin, Farxiga, Empagliflozin, Jardiance, Ertugliflozin, Steglatro, Ipragliflozin, Suglat, Luseogliflozin, Lusefi, Sotagliflozin, Zynquista, Bexafgliflozin, Brenzavvy","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_sra,taking_sra,Taking Serotonin Receptor Agonists (SRA),"Whether the participant is taking treatments in the serotonin receptor agonist (SRA) class. Typically a treatment for obesity. Medications include Lorcaserin, Belviq","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_statins,taking_statins,Taking Statins (HMG-CoA Reductase Inhibitors),"Whether the participant is taking treatments in the Statins (HMG-CoA Reductase Inhibitors) class. Typically a treatment for Dyslipidemia. Medications include Atorvastatin, Lipitor, Simvastatin, Zocor, Rosuvastatin, Crestor, Pravastatin, Pravachol, Lovastatin, Mevacor, Fluvastatin, Lescol, Pitavastatin, Livalo","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_su,taking_su,Taking Sulfonylurea ,"Whether the participant is taking treatments in the sulfonylurea medication class. Typically a treatment for diabetes. Medications include Glyburide, Micronase, Glynase, Glipizide, Glucotrol, Glucotrol XL, Glimepiride, Amaryl, Chlorpropamide, Diabinese, Tolbutamide, Orinase, Tolazamide, Tolinase, Gliclazide, Diamicron, Acetohexamide, Dymelor","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_thiazidediuretics,taking_thiazidediuretics,Taking Thiazide Diuretic,"Whether the participant is taking treatments in the Thiazide Diuretic class. Typically a treatment for Hypertension. Medications include Hydrochlorothiazide (HCTZ), Microzide, Chlorthalidone, Thalitone, Metolazone","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_thyroidanalog,taking_thyroidanalog,Taking Thyroid Hormone Analog,"Whether the participant is taking treatments in the thyroid hormone analog class. Typically a treatment for obesity. Medications include Liothyronine, Triostat","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_tzd,taking_tzd,Taking Thiazolidinediones,"Whether the participant is taking treatments in the thiazolidinediones (TZD) medication class. Typically a treatment for diabetes. Medications include Pioglitazone, Actos, Rosiglitazone, Avandia","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_vasodilator,taking_vasodilator,Taking Direct Vasodilators,"Whether the participant is taking treatments in the Direct Vasodilators class. Typically a treatment for Hypertension. Medications include hydralazine, Apresoline, Minoxidil, Loniten","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_mipomersen,taking_mipomersen,Taking Mipomersen,"Whether the participant is taking treatments in the Mipomersen class. Typically a treatment for Dyslipidemia. Medications include Mipomersen, Kynamro","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_antiplate_agent,taking_antiplate_agent,Taking Antiplatelet Agents,"Including Aspirin, Clopidogrel, Prasugrel, Ticagrelor, Ticlopidine.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_gly2_inhibitors,taking_gly2_inhibitors,Taking Glycoprotein IIb/IIa inhibitors,"Including Abciximab, Eptifibatide, Tirofiban.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_anticoagulants,taking_anticoagulants,Taking Anticoagulants,"Including Low molecular weight heparins: Dalteparin, Enoxaparin, Tinzaparin; Unfractionated heparin; Direct thrombin inhibitors: Argatroban, Bivalirudin; Direct-acting oral anticoagulants: Apixaban, Dabigatran, Edoxaban, Rivaroxaban; Factor Xa inhibitor: Fondaparinux; Vitamin K inhibitor; Warfarin.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_nitrates,taking_nitrates,Taking Nitrates,"Including Short acting: Sublingual nitroglycerin, Nitroglycerin as continuous IV drip; Long acting: Isosorbide dinitrate, Isosorbide dinitrate (sustained-release), Isosorbide mononitrate, Isosorbide mononitrate (sustanded-release), Nitroglycerin patches, Nitroglycerin ointment.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_fibrinolytic,taking_fibrinolytic,Taking Fibrinolytic,"Including Streptokinase, Alteplase, Reteplase, Tenecteplase, Urokinase, Prourokinase, Anistreplase.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_cardiac_glyco,taking_cardiac_glyco,Taking Cardiac Glycosides,"Whether the participant is taking cardiac glycosides. Typically a treatment for heart failure and heart conditions in general. Medications include Digoxin, Digitalis, Ouabain, Lanatoside C, Deslanoside","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_hypoglycemic_agents_unspecified,taking_hypoglycemic_agents_unspecified,Taking Hypoglycemic Agents Unspecified,Whether the participant is taking hypoglycemic agents to treat diabetes. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_antiarrhythmic_unspecified,taking_antiarrhythmic_unspecified,Taking Antiarrhythmic Medicatiosn Unspecified,Whether the participant is taking antiarrhtyhmic medications to treat abnormal heart rhythms. Use when more specific treatment classes are not available in the data.,"[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_cox2_inhibitor,taking_cox2_inhibitor,Taking COX-2 inhibitors,"Whether the participant is taking COX-2 inhibitors, which selectively block the cycloxygenase-2 enzyme, to manage pain and inflammation. Medication include celecoxib, rofecoxib, valdecoxib, etoricoxib, paracoxib.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_cyclosporine,taking_cyclosporine,Taking cyclosprine,"Whether the participant is taking cyclosprine, an immunosuppressor, to prevent organ rejection or autoimmune conditions. Brand names include Cequa, Gengraf, Neoral, Restasis, Sandimmune, Verkazia, Vevye.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_nsaids,taking_nsaids,Taking Nonsteroidal Anti-inflammatory drugs (NSAIDs),"Whether the participant is taking Nonsteroidal Anti-inflammatory drugs (NSAIDs): acetylsalicylic acid, ibuprofen, diclofenac potassium, naproxen, ketorolac, aspirin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_pedi,taking_pdei,Taking Phosphodiesterase (PDE) Inhibitors ,"Whether the participant is taking phosphodiesterase (PDE) inhibitors , including Dipyridamole (Aggrenox, Persantine), Cilostazol (Cilostazol, Pletal).","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,,
taking_ssri,taking_ssri,Taking Selective Serotonin Reuptake Inhibitors (SSRI),"Whether the participant has taken treatments in the Selective Serotonin Reuptake Inhibitors (SSRI) medication class. Typically a treatment for major depressive disorder. Medications include Celexa, Citalopram, Lexapro, Cipralex, Escitalopram, Prozac, Sarafem, Fluoxetine, Luvox, Faverin, Fluvoxamine, Paxil, Seroxat, Paroxetine, Zoloft, Lustral, Sertraline.","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_snri,taking_snri,Taking Serotonin and Norepinephrine Reuptake Inhibitors (SNRI),"Whether the participant has taken treatments in the Serotonin and Norepinephrine Reuptake Inhibitors (SNRI) medication class. Typically a treatment for major depressive disorder. Medications include Pristiq, Desvenlafaxine, Cymbalta, Yentreve, Duloxetine, Fetzima, Levomilnacipran, Effexor, Effexor XR, Venlafaxine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_ndri,taking_ndri,Taking Norepinephrine-Dopamine Reuptake Inhibitor (NDRI),"Whether the participant has taken treatments in the Norepinephrine-Dopamine Reuptake Inhibitor (NDRI) medication class. Typically a treatment for major depressive disorder. Medications include Wellbutrin, Zyban, Bupropion, Survector, Amineptine","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
taking_tca,taking_tca,Taking Tricyclic Antidepressants (TCA),"Whether the participant has taken treatments in the Tricyclic Antidepressants (TCA), both Secondary and Tertiary Amines medication class. Typically a treatment for major depressive disorder. Medications include Elavil, Endep, Amitriptyline, Anafranil, Clomipramine, Sinequan, Silenor, Doxepin, Tofranil, Janimine, Imipramine, Surmontil, Trimipramine, Norpramin, Desipramine, Pamelor, Aventyl, Nortriptyline, Vivactil, Protriptyline, Asendin, Amoxapine, Ludiomil, Maprotiline","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medications,,,,,,
